solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;16Cap20.txt;300;14,06;0;10101,0;2235,6;2235,3771343;200;7153;14206;200;4862;9624;0,0;56504,1;0,0;2174,1363;2395,0;2,15;162;709;15;9;;87;;33
GUROBI;16Cap20.txt;300;34,24;0;36705,0;2235,6;2235,5;10200;20100;34206;200;7153;14206;1447,4;9519,1;1447,4;2152,81571;2355,2;0,0;97;302;134;25;;141;42;8
CBC;16Cap20.txt;300;265,28;0;10692;2235,6;2235,6;10200;20100;34206;200;7153;14206;2165,4955;6358,6;2165,4955;;;;;;;;;;;
CPLEX;16Cap20.txt;600;14,07;0;10101,0;2235,6;2235,3771343;200;7153;14206;200;4862;9624;0,0;56504,1;0,0;2174,1363;2395,0;2,06;162;709;15;9;;87;;33
GUROBI;16Cap20.txt;600;33,95;0;36705,0;2235,6;2235,5;10200;20100;34206;200;7153;14206;1447,4;9519,1;1447,4;2152,81571;2355,2;0,0;97;302;134;25;;141;42;8
CBC;16Cap20.txt;600;265,02;0;10692;2235,6;2235,6;10200;20100;34206;200;7153;14206;2165,4955;6358,6;2165,4955;;;;;;;;;;;
CPLEX;16Cap30.txt;120;16,89;0;10329,0;2032,1;2031,9005903;200;7153;14206;200;6891;13682;0,0;75840,2;0,0;1935,2897;2192,9;2,89;208;691;18;8;;70;;31
GUROBI;16Cap30.txt;120;35,87;0;27330,0;2032,1;2032,1;10200;20100;34206;200;7153;14206;1111,26667;9443,6;1111,26667;1890,56576;2295,7;0,0;202;471;22;24;;112;36;3
CBC;16Cap30.txt;120;120,0;5,2302232033357825;4491;2038,5;1931,8819;10200;20100;34206;200;7153;14206;1931,8819;5753,5;1931,8819;;;;;;;;;;;
CPLEX;16Cap30.txt;300;16,95;0;10329,0;2032,1;2031,9005903;200;7153;14206;200;6891;13682;0,0;75840,2;0,0;1935,2897;2192,9;2,88;208;691;18;8;;70;;31
GUROBI;16Cap30.txt;300;35,82;0;27330,0;2032,1;2032,1;10200;20100;34206;200;7153;14206;1111,26667;9443,6;1111,26667;1890,56576;2295,7;0,0;202;471;22;24;;112;36;3
CBC;16Cap30.txt;300;299,97;4,662226268392302;10648;2032,1;1937,3589;10200;20100;34206;200;7153;14206;1931,8819;5753,5;1931,8819;;;;;;;;;;;
CPLEX;16Cap30.txt;600;16,93;0;10329,0;2032,1;2031,9005903;200;7153;14206;200;6891;13682;0,0;75840,2;0,0;1935,2897;2192,9;2,89;208;691;18;8;;70;;31
GUROBI;16Cap30.txt;600;35,84;0;27330,0;2032,1;2032,1;10200;20100;34206;200;7153;14206;1111,26667;9443,6;1111,26667;1890,56576;2295,7;0,0;202;471;22;24;;112;36;3
CBC;16Cap30.txt;600;379,02;0;12941;2032,1;2032,1;10200;20100;34206;200;7153;14206;1931,8819;5753,5;1931,8819;;;;;;;;;;;
CPLEX;16Cap40.txt;120;12,55;0;5629,0;1966,6;1966,4162508;200;7153;14206;200;6894;13688;0,0;94018,4;0,0;1857,7824;2053,5;3,11;252;633;19;10;;108;;21
GUROBI;16Cap40.txt;120;18,72;0;10530,0;1966,6;1966,6;10200;20100;34206;200;7153;14206;923,9;9383,3;923,9;1787,86862;2300,5;0,0;238;484;25;24;;111;36;3
CBC;16Cap40.txt;120;119,99;5,961116463012721;4277;1972,3;1854,7289;10200;20100;34206;200;7153;14206;1854,7289;5978,2;1854,7289;;;;;;;;;;;
CPLEX;16Cap40.txt;300;12,49;0;5629,0;1966,6;1966,4162508;200;7153;14206;200;6894;13688;0,0;94018,4;0,0;1857,7824;2053,5;3,04;252;633;19;10;;108;;21
