solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap93;300;0,1;0;4;166262,6178630594;166262,6178630594;75;1275;2525;75;1274;2524;165336,39;183914,87;165336,39;;;;;;;;;;;;
CPLEX;cap93;600;0,06;0;0,0;166262,61786;166262,61786;75;1274;2524;75;1274;2524;0,0;16699200,0;0,0;166262,6179;166262,6179;0,06;;;;2;31;;;;
GUROBI;cap93;600;0,02;0;1,0;166262,617863;166262,617863;75;1275;2525;75;1274;2524;163341,272;2157019,09;163341,272;165938,188;166262,618;0,0;;;;2;15;;;;
CBC;cap93;600;0,1;0;4;166262,6178630594;166262,6178630594;75;1275;2525;75;1274;2524;165336,39;183914,87;165336,39;;;;;;;;;;;;
CPLEX;cap94;120;0,05;0;0,0;188762,61786;188762,61786;75;1274;2524;75;1274;2524;0,0;16879200,0;0,0;188762,6179;188762,6179;0,05;;;;3;27;1;;;
GUROBI;cap94;120;0,02;0;1,0;188762,617863;188762,617863;75;1275;2525;75;1274;2524;185755,772;2329519,09;185755,772;187885,077;188762,618;0,0;;;;1;15;;;;
CBC;cap94;120;0,12;0;6;188762,6178630594;188762,6178630594;75;1275;2525;75;1274;2524;187187,97;213817,98;187187,97;;;;;;;;;;;;
CPLEX;cap94;300;0,04;0;0,0;188762,61786;188762,61786;75;1274;2524;75;1274;2524;0,0;16879200,0;0,0;188762,6179;188762,6179;0,04;;;;3;27;1;;;
GUROBI;cap94;300;0,02;0;1,0;188762,617863;188762,617863;75;1275;2525;75;1274;2524;185755,772;2329519,09;185755,772;187885,077;188762,618;0,0;;;;1;15;;;;
CBC;cap94;300;0,12;0;6;188762,6178630594;188762,6178630594;75;1275;2525;75;1274;2524;187187,97;213817,98;187187,97;;;;;;;;;;;;
