solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;cap132;120;0,02;0;1,0;77404,4;77404,4;2600;5050;10050;86;1146;2206;71153,9223;159055,875;71153,9223;77404,4;77404,4;0,0;43;6;;;;;;3;
CBC;cap132;120;0,18;0;0;77404,40000000072;77404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap132;300;0,04;0;0,0;77404,4;77404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;77404,4;77404,4;0,04;36;9;;2;;;5;;
GUROBI;cap132;300;0,02;0;1,0;77404,4;77404,4;2600;5050;10050;86;1146;2206;71153,9223;159055,875;71153,9223;77404,4;77404,4;0,0;43;6;;;;;;3;
CBC;cap132;300;0,18;0;0;77404,40000000072;77404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap132;600;0,05;0;0,0;77404,4;77404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;77404,4;77404,4;0,04;36;9;;2;;;5;;
GUROBI;cap132;600;0,02;0;1,0;77404,4;77404,4;2600;5050;10050;86;1146;2206;71153,9223;159055,875;71153,9223;77404,4;77404,4;0,0;43;6;;;;;;3;
CBC;cap132;600;0,18;0;0;77404,40000000072;77404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap133;120;0,04;0;0,0;82404,4;82404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;82404,4;82404,4;0,04;36;9;;2;;;5;;
GUROBI;cap133;120;0,02;0;1,0;82404,4;82404,4;2600;5050;10050;86;1146;2206;76154,2312;199055,875;76154,2312;82404,4;82404,4;0,0;43;6;;;;;;3;
CBC;cap133;120;0,2;0;0;82404,40000000072;82404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap133;300;0,05;0;0,0;82404,4;82404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;82404,4;82404,4;0,05;36;9;;2;;;5;;
GUROBI;cap133;300;0,02;0;1,0;82404,4;82404,4;2600;5050;10050;86;1146;2206;76154,2312;199055,875;76154,2312;82404,4;82404,4;0,0;43;6;;;;;;3;
CBC;cap133;300;0,2;0;0;82404,40000000072;82404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap133;600;0,04;0;0,0;82404,4;82404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;82404,4;82404,4;0,04;36;9;;2;;;5;;
GUROBI;cap133;600;0,02;0;1,0;82404,4;82404,4;2600;5050;10050;86;1146;2206;76154,2312;199055,875;76154,2312;82404,4;82404,4;0,0;43;6;;;;;;3;
CBC;cap133;600;0,2;0;0;82404,40000000072;82404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap134;120;0,04;0;0,0;89904,4;89904,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;89904,4;89904,4;0,04;36;9;;2;;;5;;
GUROBI;cap134;120;0,02;0;1,0;89904,4;89904,4;2600;5050;10050;86;1146;2206;83654,6945;259055,875;83654,6945;89904,4;89904,4;0,0;43;6;;;;;;3;
CBC;cap134;120;0,18;0;0;89904,40000000072;89904,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap134;300;0,05;0;0,0;89904,4;89904,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;89904,4;89904,4;0,04;36;9;;2;;;5;;
GUROBI;cap134;300;0,02;0;1,0;89904,4;89904,4;2600;5050;10050;86;1146;2206;83654,6945;259055,875;83654,6945;89904,4;89904,4;0,0;43;6;;;;;;3;
CBC;cap134;300;0,18;0;0;89904,40000000072;89904,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap134;600;0,05;0;0,0;89904,4;89904,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;89904,4;89904,4;0,04;36;9;;2;;;5;;
GUROBI;cap134;600;0,02;0;1,0;89904,4;89904,4;2600;5050;10050;86;1146;2206;83654,6945;259055,875;83654,6945;89904,4;89904,4;0,0;43;6;;;;;;3;
CBC;cap134;600;0,17;0;0;89904,40000000072;89904,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;capa1;120;120,1;8,26;1718,0;12625563,274;11582886,256;1100;100100;200100;1100;100100;200100;0,0;658492000,0;0,0;11556000,0;12773500,0;25,59;2256;673;18;;;;331;;30
GUROBI;capa1;120;120,07;5,9234;1271,0;12264663,68544;11538181,60546;101100;200100;400100;1100;100100;200100;10720000,0;190710000,0;10720000,0;11515000,0;12586000,0;26,0;2269;291;86;6;;;206;21;1
CBC;capa1;120;121,88;89,70499790161543;0;112110050,0;11541732,0;101100;200100;400100;1100;100100;200100;;;;;;;;;;;;;;;
CPLEX;capa1;300;300,14;5,38;4512,0;12265700,024;11605507,122;1100;100100;200100;1100;100100;200100;0,0;658492000,0;0,0;11556000,0;12773500,0;24,45;2067;508;30;;;;316;;5
GUROBI;capa1;300;300,01;5,4546;2080,0;12264663,68544;11595680,78796;101100;200100;400100;1100;100100;200100;10720000,0;190710000,0;10720000,0;11515000,0;12586000,0;25,0;2572;512;326;5;;;392;19;1
CBC;capa1;300;300,24;29,22194146232876;595;16306935,0;11541732,0;101100;200100;400100;1100;100100;200100;11541732,0;112110050,0;11541732,0;;;;;;;;;;;;
CPLEX;capa1;600;600,12;5,35;12313,0;12264850,259;11608101,451;1100;100100;200100;1100;100100;200100;0,0;658492000,0;0,0;11556000,0;12773500,0;24,54;2466;958;41;;;;592;;15
GUROBI;capa1;600;600,02;4,0547;10574,0;12264505,09458;11767213,7259;101100;200100;400100;1100;100100;200100;10720000,0;190710000,0;10720000,0;11515000,0;12586000,0;25,0;2641;585;385;6;;;459;27;1
CBC;capa1;600;599,88;9,77070971339066;2994;12791558,0;11541732,0;101100;200100;400100;1100;100100;200100;11541732,0;112110050,0;11541732,0;;;;;;;;;;;;
CPLEX;capa2;120;120,09;8,43;1887,0;10991192,076;10064815,237;1100;100100;200100;1100;100100;200100;0,0;775700000,0;0,0;10043500,0;10991500,0;49,27;3397;722;39;;;;654;;14
GUROBI;capa2;120;121,78;11,0068;1291,0;11154259,06246;9926528,640218;101100;200100;400100;1100;100100;200100;8813152,49;191000000,0;8813152,49;9537882,02;13999000,0;9,0;2814;519;202;4;;;258;4;
CBC;capa2;120;125,74;90,9624199962669;0;110685460,0;10003287,0;101100;200100;400100;1100;100100;200100;;;;;;;;;;;;;;;
CPLEX;capa2;300;300,21;8,42;4631,0;10990556,916;10064815,237;1100;100100;200100;1100;100100;200100;0,0;775700000,0;0,0;10043500,0;10991500,0;49,13;3519;843;51;;;;424;;7
GUROBI;capa2;300;300,01;8,4664;2192,0;10990556,91555;10060047,87103;101100;200100;400100;1100;100100;200100;8813152,49;191000000,0;8813152,49;9537882,02;13999000,0;9,0;3598;912;365;4;;;297;2;1
CBC;capa2;300;300,14;19,01317974865592;270;12351753,0;10003292,0;101100;200100;400100;1100;100100;200100;10003292,0;110685460,0;10003292,0;;;;;;;;;;;;
CPLEX;capa2;600;600,08;7,87;15001,0;10990556,916;10125923,57;1100;100100;200100;1100;100100;200100;0,0;775700000,0;0,0;10043500,0;10991500,0;49,04;3836;1202;56;;;;502;;8
GUROBI;capa2;600;600,02;7,1917;9431,0;10990556,91555;10200150,38462;101100;200100;400100;1100;100100;200100;8813152,49;191000000,0;8813152,49;9537882,02;13999000,0;9,0;3718;1063;399;4;;;309;3;1
CBC;capa2;600;601,61;19,01317974865592;520;12351753,0;10003292,0;101100;200100;400100;1100;100100;200100;10003292,0;110685460,0;10003292,0;;;;;;;;;;;;
CPLEX;capa3;120;120,08;8,22;432,0;9949250,8125;9131197,451;1100;100100;200100;1100;100100;200100;0,0;894487000,0;0,0;9109836,9429;9949250,8125;76,61;4023;870;49;1;;;965;;12
GUROBI;capa3;120;120,06;10,5267;2054,0;9891933,59434;8850641,238725;101100;200100;400100;1100;100100;200100;7530227,79;191220000,0;7530227,79;8515381,45;16032000,0;9,0;3321;503;255;4;;;140;2;1
CBC;capa3;120;124,3;91,8247940502331;0;110092380,0;9000278,8;101100;200100;400100;1100;100100;200100;;;;;;;;;;;;;;;
CPLEX;capa3;300;300,12;7,34;5397,0;9866160,0596;9142461,4503;1100;100100;200100;1098;98098;196098;0,0;894487000,0;0,0;9109836,9429;9949250,8125;76,11;4146;1007;73;1;;;726;;15
GUROBI;capa3;300;300,01;7,6881;2526,0;9891933,59434;9131436,57381;101100;200100;400100;1100;100100;200100;7530227,79;191220000,0;7530227,79;8515381,45;16032000,0;9,0;4259;938;338;3;;;229;3;2
CBC;capa3;300;302,76;91,7561169991965;8;110092380,0;9075887,0;101100;200100;400100;1100;100100;200100;9075887,0;110092380,0;9075887,0;;;;;;;;;;;;
CPLEX;capa3;600;600,1;6,54;16085,0;9866141,4906;9220850,7452;1100;100100;200100;1098;98098;196098;0,0;894487000,0;0,0;9109836,9429;9949250,8125;76,54;4146;1007;73;1;;;726;;15
GUROBI;capa3;600;600,01;5,0318;7464,0;9866141,49064;9369695,716296;101100;200100;400100;1100;100100;200100;7530227,79;191220000,0;7530227,79;8515381,45;16032000,0;9,0;4772;1174;411;3;;;263;3;3
