solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;capa4;300;300,03;5,6484;1673,0;17961846,20184;16947280,46242;1100;100100;200100;1100;100100;200100;9337014,27;210470000,0;9337014,27;12529000,0;20572000,0;8,0;1;83;;10;9495;;147;42;23;1;83;;10;147;42;23;;10;9495;;147;42;23;1;83;;10;9495;147;;42;23
CBC;capa4;300;314,41;90,33262066742611;0;174205050,0;16841063,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa4;600;232,25;0;3822,0;17160439,013;17158959,457;1100;100100;200100;1100;100100;200100;0,0;207830000,0;0,0;17152100,0;17215400,0;71,0;8;73;55;;9979;;340;;;8;73;55;;340;;;55;;9979;;340;;;8;73;55;;9979;340;;;
GUROBI;capa4;600;330,89;0;2293,0;17160439,01257;17160439,01257;1100;100100;200100;1100;100100;200100;9337014,27;210470000,0;9337014,27;12529000,0;20572000,0;8,0;1;83;;10;9495;;147;42;23;1;83;;10;147;42;23;;10;9495;;147;42;23;1;83;;10;9495;147;;42;23
CBC;capa4;600;635,12;90,1814189657533;0;174205050,0;17104464,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb1;120;97,66;0;635,0;13656379,578;13655123,318;1100;100100;200100;1100;100100;200100;0,0;104083000,0;0,0;13605200,0;13714000,0;32,32;1;29;1;;4804;;9;;;1;29;1;;9;;;1;;4804;;9;;;1;29;1;;4804;9;;;
GUROBI;capb1;120;47,79;0;106,0;13656379,57755;13655634,85455;1100;100100;200100;1100;100100;200100;10054000,0;103320000,0;10054000,0;13625000,0;13681000,0;38,0;;34;;4;4236;;5;17;;;34;;4;5;17;;;4;4236;;5;17;;;34;;4;4236;5;1;17;
CBC;capb1;120;121,44;79,29171370889591;0;65269370,0;13516168,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb1;300;97,52;0;635,0;13656379,578;13655123,318;1100;100100;200100;1100;100100;200100;0,0;104083000,0;0,0;13605200,0;13714000,0;32,18;1;29;1;;4804;;9;;;1;29;1;;9;;;1;;4804;;9;;;1;29;1;;4804;9;;;
GUROBI;capb1;300;47,88;0;106,0;13656379,57755;13655634,85455;1100;100100;200100;1100;100100;200100;10054000,0;103320000,0;10054000,0;13625000,0;13681000,0;38,0;;34;;4;4236;;5;17;;;34;;4;5;17;;;4;4236;;5;17;;;34;;4;4236;5;1;17;
CBC;capb1;300;298,92;79,19172346845083;1;65269370,0;13581431,0;1100;100100;200100;1100;100100;200100;13581431,0;65269370;13581431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
