solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap73;600;0,03;0;0,0;1010641,45;1010641,45;65;815;1565;65;815;1565;0,0;2904362,6;0,0;1010641,45;1010641,45;0,03;;;1;15;;1;;;;;1;15;84;;1;;;;;1;15;;84;;1;;;;;1;15;;1;;;1;15;84;;1;;;;;;1;15;84;;1;;;
GUROBI;cap73;600;0,01;0;1,0;1010641,45;1010641,45;66;816;1616;50;134;253;945169,516;1193114,93;945169,516;1010641,45;1010641,45;0,0;;;5;4;;;14;;;;5;4;38;;;14;;;;5;4;;38;;;14;;;;5;4;;;14;;5;4;38;;;;14;;;;5;4;38;;;;14;
CBC;cap73;600;0,17;0;47;1010641,45;1010641,45;66;816;1616;65;814;1564;1010641,4;1100470,2;1010641,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;120;0,03;0;0,0;1034976,975;1034976,975;65;815;1565;65;815;1565;0,0;2911862,6;0,0;1034976,975;1034976,975;0,03;;;3;15;;;;;;;3;15;93;;;;;;;3;15;;93;;;;;;;3;15;;;;;3;15;93;;;;;;;;3;15;93;;;;;
GUROBI;cap74;120;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;50;134;253;969346,684;1253114,93;969346,684;1032835,11;1034976,98;0,0;;;3;5;;;1;;;;3;5;46;;;1;;;;3;5;;46;;;1;;;;3;5;;;1;;3;5;46;;;;1;;;;3;5;46;;;;1;
CBC;cap74;120;0,17;0;31;1034976,975;1034976,975;66;816;1616;65;814;1564;1034977,0;1212970,2;1034977,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;300;0,03;0;0,0;1034976,975;1034976,975;65;815;1565;65;815;1565;0,0;2911862,6;0,0;1034976,975;1034976,975;0,03;;;3;15;;;;;;;3;15;93;;;;;;;3;15;;93;;;;;;;3;15;;;;;3;15;93;;;;;;;;3;15;93;;;;;
GUROBI;cap74;300;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;50;134;253;969346,684;1253114,93;969346,684;1032835,11;1034976,98;0,0;;;3;5;;;1;;;;3;5;46;;;1;;;;3;5;;46;;;1;;;;3;5;;;1;;3;5;46;;;;1;;;;3;5;46;;;;1;
CBC;cap74;300;0,17;0;31;1034976,975;1034976,975;66;816;1616;65;814;1564;1034977,0;1212970,2;1034977,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;600;0,03;0;0,0;1034976,975;1034976,975;65;815;1565;65;815;1565;0,0;2911862,6;0,0;1034976,975;1034976,975;0,03;;;3;15;;;;;;;3;15;93;;;;;;;3;15;;93;;;;;;;3;15;;;;;3;15;93;;;;;;;;3;15;93;;;;;
