solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;p8;120;0,29;0;10;10998,84596154124;10998,84596154124;60;510;1010;60;510;1010;10890,931;11773,56;10890,931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p8;300;0,03;0;0,0;10998,845962;10998,845962;60;510;1010;60;510;1010;0,0;27589,3922;0,0;10998,846;10998,846;0,03;;;;5;;;;3;;;;5;;45;;;;3;;;;5;;;;3;;5;45;;;;;3;;;5;45;;;;;3
GUROBI;p8;300;0,02;0;1,0;10998,84596154;10998,84596154;60;510;1010;60;510;1010;9869,56049;26690,2086;9869,56049;10938,27;10998,845962;0,0;;;;7;;3;;;;;;7;;27;;3;;;;;;7;;3;;;;7;27;;3;1;;;;;7;27;;3;1;;
CBC;p8;300;0,28;0;10;10998,84596154124;10998,84596154124;60;510;1010;60;510;1010;10890,931;11773,56;10890,931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p8;600;0,03;0;0,0;10998,845962;10998,845962;60;510;1010;60;510;1010;0,0;27589,3922;0,0;10998,846;10998,846;0,03;;;;5;;;;3;;;;5;;45;;;;3;;;;5;;;;3;;5;45;;;;;3;;;5;45;;;;;3
GUROBI;p8;600;0,02;0;1,0;10998,84596154;10998,84596154;60;510;1010;60;510;1010;9869,56049;26690,2086;9869,56049;10938,27;10998,845962;0,0;;;;7;;3;;;;;;7;;27;;3;;;;;;7;;3;;;;7;27;;3;1;;;;;7;27;;3;1;;
CBC;p8;600;0,29;0;10;10998,84596154124;10998,84596154124;60;510;1010;60;510;1010;10890,931;11773,56;10890,931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p9;120;0,03;0;0,0;8425,8311688;8425,8311688;60;510;1010;60;510;1010;0,0;25232,9474;0,0;8425,8312;8425,8312;0,03;;;;8;;;;2;;;;8;;54;;;;2;;;;8;;;;2;;8;54;;;;;2;;;8;54;;;;;2
GUROBI;p9;120;0,02;0;1,0;8425,831168832;8425,831168832;60;510;1010;60;510;1010;6825,17333;23955,6372;6825,17333;8413,7954;8425,8311688;0,0;;;;6;;2;1;;;;;6;;50;;2;1;;;;;6;;2;1;;;6;50;;2;;1;;;;6;50;;2;;1;
CBC;p9;120;0,02;0;0;8425,831168831242;8425,831168831242;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
