solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;cap92;300;0,05;0;1,0;858109,325;858109,325;75;1275;2525;75;1274;2524;699639,483;1751509,75;699639,483;858109,325;858109,325;0,0;10;6;;1;;;5;;10;6;;1;;;;5;
CBC;cap92;300;0,13;0;0;858109,325;858109,325;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;600;0,06;0;0,0;858109,325;858093,29735;75;1274;2524;50;195;355;0,0;2364550,525;0,0;858093,29735;858109,325;;39;23;;20;1;10;;;39;23;;20;2;1;10;;
GUROBI;cap92;600;0,05;0;1,0;858109,325;858109,325;75;1275;2525;75;1274;2524;699639,483;1751509,75;699639,483;858109,325;858109,325;0,0;10;6;;1;;;5;;10;6;;1;;;;5;
CBC;cap92;600;0,12;0;0;858109,325;858109,325;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;120;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;120;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;120;0,49;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;300;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;300;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;300;0,5;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;600;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;600;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;600;0,51;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;120;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;120;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;120;0,49;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;300;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;300;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;300;0,48;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;600;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;600;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;600;0,48;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;120;0,02;0;0,0;796648,4375;796648,4375;71;277;483;57;220;383;105207,2625;2894362,6;105207,2625;796648,4375;796648,4375;0,02;36;26;;19;4;9;;;36;26;;19;7;4;9;;
GUROBI;cap101;120;0,01;0;1,0;796648,4375;796615,564799;75;1275;2525;57;185;348;721636,925;811651,725;721636,925;796615,565;796648,438;0,0;22;20;;2;;5;10;;22;20;;2;;;5;10;
CBC;cap101;120;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;300;0,02;0;0,0;796648,4375;796648,4375;71;277;483;57;220;383;105207,2625;2894362,6;105207,2625;796648,4375;796648,4375;0,02;36;26;;19;4;9;;;36;26;;19;7;4;9;;
GUROBI;cap101;300;0,01;0;1,0;796648,4375;796615,564799;75;1275;2525;57;185;348;721636,925;811651,725;721636,925;796615,565;796648,438;0,0;22;20;;2;;5;10;;22;20;;2;;;5;10;
CBC;cap101;300;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;600;0,02;0;0,0;796648,4375;796648,4375;71;277;483;57;220;383;105207,2625;2894362,6;105207,2625;796648,4375;796648,4375;0,02;36;26;;19;4;9;;;36;26;;19;7;4;9;;
GUROBI;cap101;600;0,01;0;1,0;796648,4375;796615,564799;75;1275;2525;57;185;348;721636,925;811651,725;721636,925;796615,565;796648,438;0,0;22;20;;2;;5;10;;22;20;;2;;;5;10;
CBC;cap101;600;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;120;0,04;0;0,0;854704,2;854704,2;71;277;483;59;229;399;98580,425;2899362,6;98580,425;101,0;854704,2;0,04;41;29;;21;;12;;;41;29;;21;10;;12;;
GUROBI;cap102;120;0,01;0;1,0;854704,2;854704,2;75;1275;2525;59;194;364;749269,303;891651,725;749269,303;854411,0;854704,2;0,0;28;21;;1;;5;15;;28;21;;1;;;5;15;
CBC;cap102;120;0,16;0;0;854704,2000000001;854704,2000000001;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;300;0,04;0;0,0;854704,2;854704,2;71;277;483;59;229;399;98580,425;2899362,6;98580,425;101,0;854704,2;0,04;41;29;;21;;12;;;41;29;;21;10;;12;;
GUROBI;cap102;300;0,01;0;1,0;854704,2;854704,2;75;1275;2525;59;194;364;749269,303;891651,725;749269,303;854411,0;854704,2;0,0;28;21;;1;;5;15;;28;21;;1;;;5;15;
CBC;cap102;300;0,16;0;0;854704,2000000001;854704,2000000001;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;600;0,04;0;0,0;854704,2;854704,2;71;277;483;59;229;399;98580,425;2899362,6;98580,425;101,0;854704,2;0,04;41;29;;21;;12;;;41;29;;21;10;;12;;
GUROBI;cap102;600;0,01;0;1,0;854704,2;854704,2;75;1275;2525;59;194;364;749269,303;891651,725;749269,303;854411,0;854704,2;0,0;28;21;;1;;5;15;;28;21;;1;;;5;15;
CBC;cap102;600;0,16;0;0;854704,2000000001;854704,2000000001;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;120;0,03;0;0,0;893782,1125;893782,1125;71;277;483;64;263;462;78313,525;2904362,6;78313,525;893782,1125;893782,1125;0,02;63;40;;23;1;14;;;63;40;;23;15;1;14;;
GUROBI;cap103;120;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;64;224;423;764809,855;959071,525;764809,855;893782,113;893782,113;0,0;41;32;;1;;8;21;;41;32;;1;;;8;21;
CBC;cap103;120;0,17;0;0;893782,1125;893782,1125;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;300;0,02;0;0,0;893782,1125;893782,1125;71;277;483;64;263;462;78313,525;2904362,6;78313,525;893782,1125;893782,1125;0,02;63;40;;23;1;14;;;63;40;;23;15;1;14;;
GUROBI;cap103;300;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;64;224;423;764809,855;959071,525;764809,855;893782,113;893782,113;0,0;41;32;;1;;8;21;;41;32;;1;;;8;21;
CBC;cap103;300;0,17;0;0;893782,1125;893782,1125;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;600;0,03;0;0,0;893782,1125;893782,1125;71;277;483;64;263;462;78313,525;2904362,6;78313,525;893782,1125;893782,1125;0,03;63;40;;23;1;14;;;63;40;;23;15;1;14;;
GUROBI;cap103;600;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;64;224;423;764809,855;959071,525;764809,855;893782,113;893782,113;0,0;41;32;;1;;8;21;;41;32;;1;;;8;21;
CBC;cap103;600;0,17;0;0;893782,1125;893782,1125;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap104;120;0,03;0;0,0;928941,75;928941,75;71;277;483;64;263;462;78313,525;2911862,6;78313,525;928941,75;928941,75;0,03;70;38;;17;3;15;;;70;38;;17;25;3;15;;
GUROBI;cap104;120;0,02;0;1,0;928941,75;928941,75;75;1275;2525;64;224;423;793765,894;1056571,53;793765,894;928941,75;928941,75;0,0;39;33;;1;;4;15;;39;33;;1;;;4;15;
