solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap101;300;0,08;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;600;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;600;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
CBC;cap101;600;0,09;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;120;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,04;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;120;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
CBC;cap102;120;0,09;0;3;854704,2;854704,2;75;1275;2525;74;1273;2473;854704,2;952291,15;854704,2;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;300;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,03;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;300;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
CBC;cap102;300;0,08;0;3;854704,2;854704,2;75;1275;2525;74;1273;2473;854704,2;952291,15;854704,2;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;600;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,04;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;600;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
