solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;p8;120;0,06;0;0,0;11088,0;11088,0;60;510;1010;40;132;257;0,0;26096,0;0,0;11088,0;11088,0;0,06;20;15;2;3;1;11;;7;20;15;2;3;;1;11;;7;20;15;2;3;;;1;11;;7
GUROBI;p8;120;0,04;0;1,0;11088,0;11088,0;60;510;1010;60;510;1010;9869,56049;17163,0;9869,56049;11088,0;11088,0;0,0;20;13;;4;;7;16;;20;13;;4;;;7;16;;20;13;;4;;;;7;16;
CBC;p8;120;0,47;0;2;11088,0;11088,0;60;510;1010;60;510;1010;11027,836;11123,0;11027,836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p8;300;0,06;0;0,0;11088,0;11088,0;60;510;1010;40;132;257;0,0;26096,0;0,0;11088,0;11088,0;0,06;20;15;2;3;1;11;;7;20;15;2;3;;1;11;;7;20;15;2;3;;;1;11;;7
GUROBI;p8;300;0,04;0;1,0;11088,0;11088,0;60;510;1010;60;510;1010;9869,56049;17163,0;9869,56049;11088,0;11088,0;0,0;20;13;;4;;7;16;;20;13;;4;;;7;16;;20;13;;4;;;;7;16;
CBC;p8;300;0,45;0;2;11088,0;11088,0;60;510;1010;60;510;1010;11027,836;11123,0;11027,836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p8;600;0,06;0;0,0;11088,0;11088,0;60;510;1010;40;132;257;0,0;26096,0;0,0;11088,0;11088,0;0,06;20;15;2;3;1;11;;7;20;15;2;3;;1;11;;7;20;15;2;3;;;1;11;;7
GUROBI;p8;600;0,04;0;1,0;11088,0;11088,0;60;510;1010;60;510;1010;9869,56049;17163,0;9869,56049;11088,0;11088,0;0,0;20;13;;4;;7;16;;20;13;;4;;;7;16;;20;13;;4;;;;7;16;
CBC;p8;600;0,46;0;2;11088,0;11088,0;60;510;1010;60;510;1010;11027,836;11123,0;11027,836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p9;120;0,03;0;0,0;8462,0;8462,0;60;510;1010;25;62;126;0,0;23792,0;0,0;8462,0;8462,0;0,03;10;3;;6;3;;;5;10;3;;6;1;3;;;5;10;3;;6;;1;3;;;5
GUROBI;p9;120;0,02;0;1,0;8462,0;8462,0;60;510;1010;60;510;1010;6825,17333;13778,0;6825,17333;8445,51515;8462,0;0,0;;1;;;;;;;;1;;;;;;;;;1;;;;;;;;
CBC;p9;120;0,05;0;0;8462,0;8462,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p9;300;0,03;0;0,0;8462,0;8462,0;60;510;1010;25;62;126;0,0;23792,0;0,0;8462,0;8462,0;0,03;10;3;;6;3;;;5;10;3;;6;1;3;;;5;10;3;;6;;1;3;;;5
GUROBI;p9;300;0,02;0;1,0;8462,0;8462,0;60;510;1010;60;510;1010;6825,17333;13778,0;6825,17333;8445,51515;8462,0;0,0;;1;;;;;;;;1;;;;;;;;;1;;;;;;;;
CBC;p9;300;0,06;0;0;8462,0;8462,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p9;600;0,03;0;0,0;8462,0;8462,0;60;510;1010;25;62;126;0,0;23792,0;0,0;8462,0;8462,0;0,03;10;3;;6;3;;;5;10;3;;6;1;3;;;5;10;3;;6;;1;3;;;5
GUROBI;p9;600;0,02;0;1,0;8462,0;8462,0;60;510;1010;60;510;1010;6825,17333;13778,0;6825,17333;8445,51515;8462,0;0,0;;1;;;;;;;;1;;;;;;;;;1;;;;;;;;
CBC;p9;600;0,06;0;0;8462,0;8462,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p10;120;0,02;0;0,0;7617,0;7617,0;60;510;1010;60;510;1010;0,0;22478,0;0,0;70,0;7617,0;0,02;40;9;;10;1;;;9;40;9;;10;;1;;;9;40;9;;10;;;1;;;9
GUROBI;p10;120;0,01;0;1,0;7617,0;7617,0;60;510;1010;60;510;1010;6182,0;12464,0;6182,0;7615,625;7617,0;0,0;38;11;;1;;1;8;;38;11;;1;;;1;8;;38;11;;1;;;;1;8;
CBC;p10;120;0,02;0;0;7617,0;7617,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p10;300;0,02;0;0,0;7617,0;7617,0;60;510;1010;60;510;1010;0,0;22478,0;0,0;70,0;7617,0;0,02;40;9;;10;1;;;9;40;9;;10;;1;;;9;40;9;;10;;;1;;;9
GUROBI;p10;300;0,01;0;1,0;7617,0;7617,0;60;510;1010;60;510;1010;6182,0;12464,0;6182,0;7615,625;7617,0;0,0;38;11;;1;;1;8;;38;11;;1;;;1;8;;38;11;;1;;;;1;8;
CBC;p10;300;0,03;0;0;7617,0;7617,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p10;600;0,02;0;0,0;7617,0;7617,0;60;510;1010;60;510;1010;0,0;22478,0;0,0;70,0;7617,0;0,02;40;9;;10;1;;;9;40;9;;10;;1;;;9;40;9;;10;;;1;;;9
GUROBI;p10;600;0,01;0;1,0;7617,0;7617,0;60;510;1010;60;510;1010;6182,0;12464,0;6182,0;7615,625;7617,0;0,0;38;11;;1;;1;8;;38;11;;1;;;1;8;;38;11;;1;;;;1;8;
CBC;p10;600;0,02;0;0;7617,0;7617,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p11;120;0,03;0;0,0;8932,0;8932,0;60;510;1010;60;510;1010;0,0;24478,0;0,0;8932,0;8932,0;0,03;38;8;1;7;;;;8;38;8;1;7;;;;;8;38;8;1;7;;;;;;8
GUROBI;p11;120;0,01;0;1,0;8932,0;8932,0;60;510;1010;60;510;1010;7152,66667;14464,0;7152,66667;8927,72727;8932,0;0,0;37;9;;1;;;9;;37;9;;1;;;;9;;37;9;;1;;;;;9;
CBC;p11;120;0,05;0;0;8932,0;8932,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p11;300;0,03;0;0,0;8932,0;8932,0;60;510;1010;60;510;1010;0,0;24478,0;0,0;8932,0;8932,0;0,03;38;8;1;7;;;;8;38;8;1;7;;;;;8;38;8;1;7;;;;;;8
GUROBI;p11;300;0,01;0;1,0;8932,0;8932,0;60;510;1010;60;510;1010;7152,66667;14464,0;7152,66667;8927,72727;8932,0;0,0;37;9;;1;;;9;;37;9;;1;;;;9;;37;9;;1;;;;;9;
CBC;p11;300;0,05;0;0;8932,0;8932,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p11;600;0,03;0;0,0;8932,0;8932,0;60;510;1010;60;510;1010;0,0;24478,0;0,0;8932,0;8932,0;0,03;38;8;1;7;;;;8;38;8;1;7;;;;;8;38;8;1;7;;;;;;8
GUROBI;p11;600;0,01;0;1,0;8932,0;8932,0;60;510;1010;60;510;1010;7152,66667;14464,0;7152,66667;8927,72727;8932,0;0,0;37;9;;1;;;9;;37;9;;1;;;;9;;37;9;;1;;;;;9;
CBC;p11;600;0,06;0;0;8932,0;8932,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p12;120;0,04;0;0,0;10132,0;10132,0;60;510;1010;31;101;199;0,0;26478,0;0,0;203,0;10132,0;0,04;31;6;1;6;5;3;;5;31;6;1;6;;5;3;;5;31;6;1;6;;;5;3;;5
GUROBI;p12;120;0,02;0;1,0;10132,0;10131,0;60;510;1010;60;510;1010;8123,33333;16464,0;8123,33333;10130,711;10132,0;0,0;22;6;;2;;4;6;;22;6;;2;;;4;6;;22;6;;2;;;;4;6;
CBC;p12;120;0,16;0;0;10132,0;10132,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p12;300;0,04;0;0,0;10132,0;10132,0;60;510;1010;31;101;199;0,0;26478,0;0,0;203,0;10132,0;0,04;31;6;1;6;5;3;;5;31;6;1;6;;5;3;;5;31;6;1;6;;;5;3;;5
GUROBI;p12;300;0,02;0;1,0;10132,0;10131,0;60;510;1010;60;510;1010;8123,33333;16464,0;8123,33333;10130,711;10132,0;0,0;22;6;;2;;4;6;;22;6;;2;;;4;6;;22;6;;2;;;;4;6;
CBC;p12;300;0,18;0;0;10132,0;10132,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p12;600;0,04;0;0,0;10132,0;10132,0;60;510;1010;31;101;199;0,0;26478,0;0,0;203,0;10132,0;0,04;31;6;1;6;5;3;;5;31;6;1;6;;5;3;;5;31;6;1;6;;;5;3;;5
GUROBI;p12;600;0,02;0;1,0;10132,0;10131,0;60;510;1010;60;510;1010;8123,33333;16464,0;8123,33333;10130,711;10132,0;0,0;22;6;;2;;4;6;;22;6;;2;;;4;6;;22;6;;2;;;;4;6;
CBC;p12;600;0,16;0;0;10132,0;10132,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p13;120;0,07;0;0,0;8252,0;8252,0;70;1020;2020;70;530;1040;0,0;29237,0;0,0;8252,0;8252,0;0,07;42;32;4;15;2;5;;23;42;32;4;15;2;2;5;;23;42;32;4;15;;2;2;5;;23
GUROBI;p13;120;0,05;0;1,0;8252,0;8252,0;70;1020;2020;70;1020;2020;6365,16609;15224,0;6365,16609;8252,0;8252,0;0,0;4;3;;3;;1;4;;4;3;;3;;;1;4;;4;3;;3;;;;1;4;
CBC;p13;120;0,25;0;6;8252,0;8252,0;70;1020;2020;70;1020;2020;8228,3556;8252,0;8228,3556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p13;300;0,07;0;0,0;8252,0;8252,0;70;1020;2020;70;530;1040;0,0;29237,0;0,0;8252,0;8252,0;0,07;42;32;4;15;2;5;;23;42;32;4;15;2;2;5;;23;42;32;4;15;;2;2;5;;23
GUROBI;p13;300;0,05;0;1,0;8252,0;8252,0;70;1020;2020;70;1020;2020;6365,16609;15224,0;6365,16609;8252,0;8252,0;0,0;4;3;;3;;1;4;;4;3;;3;;;1;4;;4;3;;3;;;;1;4;
CBC;p13;300;0,25;0;6;8252,0;8252,0;70;1020;2020;70;1020;2020;8228,3556;8252,0;8228,3556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p13;600;0,07;0;0,0;8252,0;8252,0;70;1020;2020;70;530;1040;0,0;29237,0;0,0;8252,0;8252,0;0,07;42;32;4;15;2;5;;23;42;32;4;15;2;2;5;;23;42;32;4;15;;2;2;5;;23
GUROBI;p13;600;0,05;0;1,0;8252,0;8252,0;70;1020;2020;70;1020;2020;6365,16609;15224,0;6365,16609;8252,0;8252,0;0,0;4;3;;3;;1;4;;4;3;;3;;;1;4;;4;3;;3;;;;1;4;
CBC;p13;600;0,24;0;6;8252,0;8252,0;70;1020;2020;70;1020;2020;8228,3556;8252,0;8228,3556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p14;120;0,04;0;0,0;7137,0;7137,0;70;1020;2020;70;1020;2020;0,0;26385,0;0,0;7137,0;7137,0;0,03;35;29;2;24;;2;;18;35;29;2;24;;;2;;18;35;29;2;24;;;;2;;18
GUROBI;p14;120;0,02;0;1,0;7137,0;7137,0;70;1020;2020;70;1020;2020;5371,06126;13923,0;5371,06126;7105,81643;7137,0;0,0;31;22;;;;10;13;;31;22;;;;;10;13;;31;22;;;;;;10;13;
CBC;p14;120;0,09;0;0;7137,0;7137,0;70;1020;2020;70;1020;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p14;300;0,04;0;0,0;7137,0;7137,0;70;1020;2020;70;1020;2020;0,0;26385,0;0,0;7137,0;7137,0;0,03;35;29;2;24;;2;;18;35;29;2;24;;;2;;18;35;29;2;24;;;;2;;18
GUROBI;p14;300;0,02;0;1,0;7137,0;7137,0;70;1020;2020;70;1020;2020;5371,06126;13923,0;5371,06126;7105,81643;7137,0;0,0;31;22;;;;10;13;;31;22;;;;;10;13;;31;22;;;;;;10;13;
